Norm1;;Norm2;;Norm3;;Norm4;
1;Red;45;Yellow;0;Yellow;30;Yellow
2;Red;46;Red;16;Yellow;31;Red
3;Red;47;Red;17;Yellow;32;Yellow
4;Yellow;48;Yellow;18;Yellow;33;Yellow
5;Red;49;Red;19;Yellow;34;Red
6;Red;50;Red;20;Red;35;Yellow
7;Red;51;Yellow;21;Yellow;36;Red
8;Red;52;Red;22;Yellow;37;Yellow
9;Red;53;Red;23;Yellow;38;Red
10;Red;54;Red;24;Red;39;Yellow
11;Yellow;55;Yellow;25;Yellow;40;Yellow
12;Red;56;Red;26;Yellow;41;Red
13;Red;57;Red;27;Red;42;Red
14;Red;58;Red;28;Yellow;43;Yellow
15;Yellow;59;Yellow;29;Yellow;44;Yellow